Id	Behavior	Name	Environment	TerrainRoot	CloseLoadingDelay	SwitchNpcCd	SceneCamera	CameraId	Terrains[1]	Terrains[2]	Terrains[3]	Position[1]	Position[2]	Position[3]	Rotation[1]	Rotation[2]	Rotation[3]
13010101	13010101	【挑战】-露西亚1			0.15	15	2	9	130101010			0|0|0			0|0|0		
13010102	13010102	【挑战】-露西亚2			0.15	15	2	9	130101020			0|0|0			0|0|0		
13010103	13010103	【挑战】-露西亚3			0.15	15	1	9	130101030			0|0|0			0|0|0		
13010115	13010115	【剧情】-熄灭的灯火【战斗】			0.15	15	2	9	130101150			0|0|0			0|0|0		
13010116	13010116	【剧情】-重生红莲【战斗】【彩蛋】			0.15	15	2	9	130101160			0|0|0			0|0|0		
13010201	13010201	【挑战】-丽芙1			0.15	15	17	9	130102010			0|0|0			0|0|0		
13010202	13010202	【挑战】-丽芙2			0.15	15	1	9	130102020			0|0|0			0|0|0		
13010203	13010203	【挑战】-丽芙3			0.15	15	1	9	130102030			0|0|0			0|0|0		
13010214	13010214	【剧情】-灰姑娘的战场【战斗】【彩蛋】			0.15	15	17	9	130102140			0|0|0			0|0|0		
13010216	13010216	【剧情】-泯灭与重生【战斗】			0.15	15	1	9	130102160			0|0|0			0|0|0		
13010301	13010301	【挑战】-七实1			0.15	15	2	9	130103010			0|0|0			0|0|0		
13010302	13010302	【挑战】-七实2			0.15	15	1	9	130103020			0|0|0			0|0|0		
13010303	13010303	【挑战】-七实3			0.15	15	1	9	130103030			0|0|0			0|0|0		
13010314	13010314	【剧情】-某日的病变【战斗】			0.15	15	2	9	130103140			0|0|0			0|0|0		
13010316	13010316	【剧情】-某日的失去【战斗】【彩蛋】			0.15	15	1	9	130103160			0|0|0			0|0|0		
13010401	13010401	【挑战】-里1			0.15	15	1	9	130104010			0|0|0			0|0|0		
13010402	13010402	【挑战】-里2			0.15	15	1	9	130104020			0|0|0			0|0|0		
13010403	13010403	【挑战】-里3			0.15	15	1	9	130104030			0|0|0			0|0|0		
13010412	13010412	【剧情】-凋零的双生子【战斗】			0.15	15	1	9	130104120			0|0|0			0|0|0		
13010415	13010415	【剧情】-选择题【战斗】【彩蛋】			0.15	15	16	9	130104150			0|0|0			0|0|0		
13010501	13010501	【挑战】-卡列尼娜1			0.15	15	4	9	130105010			0|0|0			0|0|0		
13010502	13010502	【挑战】-卡列尼娜2			0.15	15	1	9	130105020			0|0|0			0|0|0		
13010503	13010503	【挑战】-卡列尼娜3			0.15	15	1	9	130105030			0|0|0			0|0|0		
13010514	13010514	【剧情】-突变【战斗】【彩蛋前置】			0.15	15	1	9	130105140			0|0|0			0|0|0		
13010516	13010516	【剧情】-蛰伏成蛹【战斗】【彩蛋】			0.15	15	1	9	130105160			0|0|0			0|0|0		
13010601	13010601	【挑战】-渡边1			0.15	15	1	9	130106010			0|0|0			0|0|0		
13010602	13010602	【挑战】-渡边2			0.15	15	30	9	130106020			0|0|0			0|0|0		
13010603	13010603	【挑战】-渡边3			0.15	15	1	9	130106030			0|0|0			0|0|0		
13010614	13010614	【剧情】-枪口之下【战斗】			0.15	15	5	9	130106140			0|0|0			0|0|0		
13010615	13010615	【剧情】-拯救行动【战斗】【彩蛋】			0.15	15	5	9	130106150			0|0|0			0|0|0		
13010701	13010701	【挑战】-比安卡1			0.15	15	10	9	130107010			0|0|0			0|0|0		
13010702	13010702	【挑战】-比安卡2			0.15	15	8	9	130107020			0|0|0			0|0|0		
13010703	13010703	【挑战】-比安卡3			0.15	15	1	9	130107030			0|0|0			0|0|0		
13010715	13010715	【剧情】-信仰与坚持【战斗】			0.15	15	5	9	130107150			0|0|0			0|0|0		
13010716	13010716	【剧情】-血色信仰【战斗】【彩蛋】			0.15	15	5	9	130107160			0|0|0			0|0|0		
13010801	13010801	【挑战】-神威1			0.15	15	9	9	130108010			0|0|0			0|0|0		
13010802	13010802	【挑战】-神威2			0.15	15	1	9	130108020			0|0|0			0|0|0		
13010803	13010803	【挑战】-神威3			0.15	15	1	9	130108030			0|0|0			0|0|0		
13010814	13010814	【剧情】-厮杀【战斗】			0.15	15	9	9	130108140			0|0|0			0|0|0		
13010815	13010815	【剧情】-人类的命令【战斗】【彩蛋】			0.15	15	9	9	130108150			0|0|0			0|0|0		
