Id	Name	Desc	Delay	Duration	EffectType	AffixId	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd
9003				-1								90030					
9009				-1								90090					
9010				-1								90100					
9011				-1								90110					
9012				-1								90120					
9013				-1								90130					
9014				-1								90140					
9015				-1								90150					
9016				-1								90160					
9017				-1								90170					
9018				-1								90180					
9019				-1								90190					
9020				-1								90200					
9021				-1								90210					
9601				-1								96010					
9602				-1								96020					
9603				-1								96030					
9604				-1								96040					
9605				-1								96050					
9606				-1								96060					
9607				-1								96070					
9025				-1								90250					
9610				-1								96100					
9611				-1								96110					
9612				-1								96120					
9613				-1								96130					
9614				-1								96140					
9615				-1								96150					
9036				-1								90360					
9042				-1								90420					
