Id	Type	Title	Desc	ImageUrl	Weight
1	902	心情值	宿舍的舒适度、与构造体互动可提升构造体的心情值\n达到开心还可获得角色赠礼	Assets/Product/Texture/Image/BgUi/BgFightLoading5.png	30
2	902	舒适度	将构造体放置在对应喜好的舒适度下\n可以加快构造体的体力/心情恢复	Assets/Product/Texture/Image/BgUi/BgFightLoading5.png	30
3	902	心情事件	随机刷新的心情事件会大幅减少构造体的心情值\n正确解决事件即可恢复大量心情值	Assets/Product/Texture/Image/BgUi/BgFightLoading5.png	30
4	902	爱抚	点击爱抚按钮进入界面\n每日可通过爱抚少量恢复构造体心情值	Assets/Product/Texture/Image/BgUi/BgFightLoading5.png	30
5	10101	伊甸级·空中花园	第一艘超光速宇宙移民舰“空中花园”的建设，曾是一项众望所归的世纪工程。\n而这次举全球之力的大协作，也将人类社会带入前所未有的“统一和进步”的黄金时代。\n病毒爆发之后，空中花园的建设被迫停止，并接纳了绝大多数逃往太空的幸存者。\n如今它作为人类夺回地球的起点，长期泊于弧形轨道船坞内，与派往地面的部队保持联系。	Assets/Product/Texture/Image/BgUi/BgFightLoading.png	30
6	10101	升格者	升格者相互之间通过“升格网络”共享着一种十分特殊的能力——\n允许它们在接受帕弥什病毒深度感染的同时，仍然维持自我意识，并获得强大的力量。\n成员们结成组织的起因不详，但能确定的是，它们正把帕弥什病毒作为工具，\n向人类乃至全世界“传播”着它们的理念。	Assets/Product/Texture/Image/BgUi/BgFightLoading1.png	30
7	10101	感染体	感染体的类型包括但不限于电子设备设施，机械体，构造体……\n各感染体会根据其自身特性表现出诸如改造，增殖，破坏等不同行为，\n但最终目的都是为了更高效地消灭所有人类意识个体，\n且自身体内的帕弥什病毒浓度越高，攻击欲望就越强烈，破坏力也会越强。	Assets/Product/Texture/Image/BgUi/BgFightLoading2.png	30
8	10101	帕弥什病毒	最初，帕弥什病毒以极高的密度从人类第一座零点能反应堆的真空腔体中现身。\n在其不断进行质量展开的过程中，引发了泄漏爆炸，使其随大气环流最终蔓延至全球。\n帕弥什病毒能够直接破坏生物体细胞，或通过操控逻辑电路使机械体呈现被感染状态，\n并对任何具有人类意识行为的个体，展现出极其强烈的攻击欲望。	Assets/Product/Texture/Image/BgUi/BgFightLoading4.png	30
9	10101	灰鸦小队	执行部队下属的“灰鸦”，是一支名声响亮的传奇小队。\n作为队长的露西亚，曾在无数战火中得到淬炼，有着极为丰富的作战经验。\n而每一位被她征入灰鸦小队的同伴，也都是各自领域中出类拔萃的精英。\n另一方面，关于灰鸦小队创立背后的各种神秘传闻，也几乎从未有过停止。	Assets/Product/Texture/Image/BgUi/BgFightLoading6.png	30
10	10102	伊甸级·空中花园	第一艘超光速宇宙移民舰“空中花园”的建设，曾是一项众望所归的世纪工程。\n而这次举全球之力的大协作，也将人类社会带入前所未有的“统一和进步”的黄金时代。\n病毒爆发之后，空中花园的建设被迫停止，并接纳了绝大多数逃往太空的幸存者。\n如今它作为人类夺回地球的起点，长期泊于弧形轨道船坞内，与派往地面的部队保持联系。	Assets/Product/Texture/Image/BgUi/BgFightLoading.png	30
11	10102	升格者	升格者相互之间通过“升格网络”共享着一种十分特殊的能力——\n允许它们在接受帕弥什病毒深度感染的同时，仍然维持自我意识，并获得强大的力量。\n成员们结成组织的起因不详，但能确定的是，它们正把帕弥什病毒作为工具，\n向人类乃至全世界“传播”着它们的理念。	Assets/Product/Texture/Image/BgUi/BgFightLoading1.png	30
12	10102	感染体	感染体的类型包括但不限于电子设备设施，机械体，构造体……\n各感染体会根据其自身特性表现出诸如改造，增殖，破坏等不同行为，\n但最终目的都是为了更高效地消灭所有人类意识个体，\n且自身体内的帕弥什病毒浓度越高，攻击欲望就越强烈，破坏力也会越强。	Assets/Product/Texture/Image/BgUi/BgFightLoading2.png	30
13	10102	帕弥什病毒	最初，帕弥什病毒以极高的密度从人类第一座零点能反应堆的真空腔体中现身。\n在其不断进行质量展开的过程中，引发了泄漏爆炸，使其随大气环流最终蔓延至全球。\n帕弥什病毒能够直接破坏生物体细胞，或通过操控逻辑电路使机械体呈现被感染状态，\n并对任何具有人类意识行为的个体，展现出极其强烈的攻击欲望。	Assets/Product/Texture/Image/BgUi/BgFightLoading4.png	30
14	10102	灰鸦小队	执行部队下属的“灰鸦”，是一支名声响亮的传奇小队。\n作为队长的露西亚，曾在无数战火中得到淬炼，有着极为丰富的作战经验。\n而每一位被她征入灰鸦小队的同伴，也都是各自领域中出类拔萃的精英。\n另一方面，关于灰鸦小队创立背后的各种神秘传闻，也几乎从未有过停止。	Assets/Product/Texture/Image/BgUi/BgFightLoading6.png	30
15	10103	伊甸级·空中花园	第一艘超光速宇宙移民舰“空中花园”的建设，曾是一项众望所归的世纪工程。\n而这次举全球之力的大协作，也将人类社会带入前所未有的“统一和进步”的黄金时代。\n病毒爆发之后，空中花园的建设被迫停止，并接纳了绝大多数逃往太空的幸存者。\n如今它作为人类夺回地球的起点，长期泊于弧形轨道船坞内，与派往地面的部队保持联系。	Assets/Product/Texture/Image/BgUi/BgFightLoading.png	30
16	10103	升格者	升格者相互之间通过“升格网络”共享着一种十分特殊的能力——\n允许它们在接受帕弥什病毒深度感染的同时，仍然维持自我意识，并获得强大的力量。\n成员们结成组织的起因不详，但能确定的是，它们正把帕弥什病毒作为工具，\n向人类乃至全世界“传播”着它们的理念。	Assets/Product/Texture/Image/BgUi/BgFightLoading1.png	30
17	10103	感染体	感染体的类型包括但不限于电子设备设施，机械体，构造体……\n各感染体会根据其自身特性表现出诸如改造，增殖，破坏等不同行为，\n但最终目的都是为了更高效地消灭所有人类意识个体，\n且自身体内的帕弥什病毒浓度越高，攻击欲望就越强烈，破坏力也会越强。	Assets/Product/Texture/Image/BgUi/BgFightLoading2.png	30
18	10103	帕弥什病毒	最初，帕弥什病毒以极高的密度从人类第一座零点能反应堆的真空腔体中现身。\n在其不断进行质量展开的过程中，引发了泄漏爆炸，使其随大气环流最终蔓延至全球。\n帕弥什病毒能够直接破坏生物体细胞，或通过操控逻辑电路使机械体呈现被感染状态，\n并对任何具有人类意识行为的个体，展现出极其强烈的攻击欲望。	Assets/Product/Texture/Image/BgUi/BgFightLoading4.png	30
19	10103	灰鸦小队	执行部队下属的“灰鸦”，是一支名声响亮的传奇小队。\n作为队长的露西亚，曾在无数战火中得到淬炼，有着极为丰富的作战经验。\n而每一位被她征入灰鸦小队的同伴，也都是各自领域中出类拔萃的精英。\n另一方面，关于灰鸦小队创立背后的各种神秘传闻，也几乎从未有过停止。	Assets/Product/Texture/Image/BgUi/BgFightLoading6.png	30
20	10401	伊甸级·空中花园	第一艘超光速宇宙移民舰“空中花园”的建设，曾是一项众望所归的世纪工程。\n而这次举全球之力的大协作，也将人类社会带入前所未有的“统一和进步”的黄金时代。\n病毒爆发之后，空中花园的建设被迫停止，并接纳了绝大多数逃往太空的幸存者。\n如今它作为人类夺回地球的起点，长期泊于弧形轨道船坞内，与派往地面的部队保持联系。	Assets/Product/Texture/Image/BgUi/BgFightLoading.png	30
21	10401	升格者	升格者相互之间通过“升格网络”共享着一种十分特殊的能力——\n允许它们在接受帕弥什病毒深度感染的同时，仍然维持自我意识，并获得强大的力量。\n成员们结成组织的起因不详，但能确定的是，它们正把帕弥什病毒作为工具，\n向人类乃至全世界“传播”着它们的理念。	Assets/Product/Texture/Image/BgUi/BgFightLoading1.png	30
22	10401	感染体	感染体的类型包括但不限于电子设备设施，机械体，构造体……\n各感染体会根据其自身特性表现出诸如改造，增殖，破坏等不同行为，\n但最终目的都是为了更高效地消灭所有人类意识个体，\n且自身体内的帕弥什病毒浓度越高，攻击欲望就越强烈，破坏力也会越强。	Assets/Product/Texture/Image/BgUi/BgFightLoading2.png	30
23	10401	帕弥什病毒	最初，帕弥什病毒以极高的密度从人类第一座零点能反应堆的真空腔体中现身。\n在其不断进行质量展开的过程中，引发了泄漏爆炸，使其随大气环流最终蔓延至全球。\n帕弥什病毒能够直接破坏生物体细胞，或通过操控逻辑电路使机械体呈现被感染状态，\n并对任何具有人类意识行为的个体，展现出极其强烈的攻击欲望。	Assets/Product/Texture/Image/BgUi/BgFightLoading4.png	30
