Id	Name	Level[1]	Level[2]	Level[3]	Level[4]	Level[5]	Level[6]	Level[7]	Level[8]	Level[9]	Level[10]	Level[11]	Level[12]	Level[13]	Level[14]	Level[15]	Level[16]	Level[17]	Level[18]	Level[19]	Level[20]	Level[21]	Level[22]	Level[23]	Level[24]	Level[25]	Level[26]	Level[27]	Level[28]	Level[29]	Level[30]
900303	AddBuff	900303																													
900303000	ChangeAttribAdditive	33|2000|0																													
900304	AddBuff	900304																													
900305	AddAttribValue	53|999999|0																													
900307	ShakeCamera	7|00.3|-1|10|00.35|0																													
900308	ShakeCamera	7|00.25|-1|10|00.2|0																													
900309	ShakeCamera	3|00.3|-1|10|00.35|0																													
900903	AddBuff	900903																													
900903000	ChangeAttribAdditive	33|2000|0																													
900904	AddBuff	900904																													
900905	AddAttribValue	53|99999|0																													
900906	ShakeCamera	5|00.5|-1|20|00.25|0																													
900907	ShakeCamera	3|00.3|-1|10|00.35|0																													
901002	AddBuff	901002																													
901002000	ChangeAttribAdditive	33|2000|0																													
901003	AddBuff	901003																													
901004	AddAttribValue	53|99999|0																													
901006	ShakeCamera	3|00.25|-1|10|00.2|0																													
901104	AddBuff	901104																													
901104000	ChangeAttribAdditive	33|2000|0																													
901105	AddBuff	901105																													
901106	AddAttribValue	53|99999|0																													
901107	ShakeCamera	5|00.5|-1|20|00.25|0																													
901108	ShakeCamera	3|00.3|-1|10|00.35|0																													
901109	ShakeCamera	5|00.2|-00.5|20|00.2|0																													
901204	AddBuff	901204																													
901204000	ChangeAttribAdditive	33|2000|0																													
901205	AddBuff	901205																													
901206	AddAttribValue	53|99999|0																													
901207	AddBuff	901207																													
901208	ShakeCamera	7|00.25|-00.5|20|00.25|0																													
901209	ShakeCamera	2|00.3|-1|10|00.25|0																													
901210	ShakeCamera	2|00.25|-1|20|00.25|0																													
901211	AddBuff	901211																													
901306	AddBuff	901306																													
901306000	ChangeAttribAdditive	33|2000|0																													
901307	AddBuff	901307																													
901308	AddAttribValue	53|99999|0																													
901402	AddBuff	901402																													
901402000	ChangeAttribAdditive	33|2000|0																													
901403	AddBuff	901403																													
901404	AddAttribValue	53|99999|0																													
901405	AddBuff	901405																													
901405000	AddBehavior	901405																													
901406	ShakeCamera	2|00.3|-1|10|00.2|0																													
