Id	Name	Shape	SizeX	SizeY	OffsetX	OffsetY	Speed	HitSpeed	Direction	TargetType	TrackTarget	LiveTime	FillTime	DeadExplosion	HitCount	RepeatDamage	HitEffect[1]	HitEffect[2]	DamageInterval	StartJoint	Effect	WaitTime	DamageCount	DamageRange	ExplosionEffect	LineType	LineParams[1]	LineParams[2]	LineParams[3]	LineParams[4]	LineParams[5]	LineParams[6]	LineParams[7]	ScaleFunction	ScaleParams[1]	ScaleParams[2]	ScaleParams[3]	ScaleParams[4]	ScaleParams[5]	ScaleType	BornPosition	ChildDelay	ChildInterval	ChildCountLimit	ChildId	BornChildWhileDead	SwitchTargetOnHit	BornDirectionType	BeHitCenter	HitShakeDirection	HitShakeDuration	HitShakeIntensity	BeHitState	Magic[1]	Magic[2]	Magic[3]	Magic[4]	Magic[5]	MagicLauncherNpc[1]	MagicLauncherNpc[3]	MagicLauncherNpc[2]	EffectHeight	HitOnJoint	ResizeEffect	BindLauncher	LockLauncherFightTarget	BindSkill	ActiveDelayTime	ExplodeOnFloor	DodgeLimitMark	HitEffectUseMissileDirection	IgnoreNpcTimeScale	ScaleTimeOnHit	TimeScale	TimeScaleDuration
99510101	震击	2	6				0			4		0.5			-1		FxDibingShouji						-1			1					0	0	0								0	0		1	99510103			0	1													0	HitCase	1	0		1			1					
99510103	伤害	2	6				0			4		0.1			-1		FxDibingShouji						-1			1					0	0	0								2							0	2				995101031	811008								0	HitCase		0		1			1					
99510201	慢速电球	2	0.5				5			4		30			-1	1	FxDibingShouji		1	BulletCase	FxMe1BioMd004050Attack01		-1			1					0	0	0								0							0	1				995102011	811004								0	HitCase		0		0			1					
99510301	快速电球	2	0.1				9			4		30			-1	1	FxDibingShouji		1	BulletCase	FxMe1BioMd004050Attack01		-1			1	-60	0			0	0	0								0							0	1				995103011	811004								0	HitCase		0		0			1					
99510401	多重电阵视觉效果-1	2	0.9				0			4		1			-1						FxMe1BioMd004050Attack01		-1			1					0	0	0								1	0.5		1	99510404			0	1													0	HitCase		0		1			0					
99510402	多重电阵视觉效果-2	2	0.9				0			4		1			-1						FxMe1BioMd004050Attack01		-1			1					0	0	0								1	0.5		1	99510404			0	1													0	HitCase		0		1			0					
99510403	多重电阵视觉效果-3	2	0.9				0			4		1			-1						FxMe1BioMd004050Attack01		-1			1					0	0	0								1	0.5		1	99510404			0	1													0	HitCase		0		1			0					
99510404	伤害	2	2				0			4		1			-1		FxDibingShouji						-1			1					0	0	0								2							0	2				995104041	811010								0	HitCase		0		1			1					
99510501	电阵视觉效果	2	0.1				0			4		1			-1						FxMe1BioMd004050Attack01		-1			1					0	0	0								1	0.5		1	99510502			0	1													0	HitCase		0		1			0					
99510502	伤害	2	2				0			4		1			-1		FxDibingShouji						-1			1					0	0	0								2							0	2				995105021	811010								0	HitCase		0		1			1					
99510602	迸发攻击	2	3				0			4		1			-1						FxMe1BioMd004050Attack01		-1			1					0	0	0								1	0.5		1	99510604			0	1													0	HitCase		0		1			0					
99510604	伤害	2	3				0			4		1			-1		FxDibingShouji						-1			1					0	0	0								2							0	2				995106041	811004								0	HitCase		0		1			1					
90370101	远程普攻	1	1				40			4		5			-1	1	FxMe1BioMd004050Shouji		1	Bip001Prop1	FxMe1BioMd004050Jian01		-1			1					0	0	0								0							0	1				903701011	801045	995206							1			0		0			1					
90370106	屏幕外预警	1	1	0		0	0			4		0.9			-1					HitCase	FxYujingXian02		-1			1					0	0	0								0							0	1													0	HitCase		1		1			0					
90370201	蓄力一击	1	1				50			4		5			-1	1	FxMe1BioMd004050Shouji		1	Bip001Prop1	FxMe1BioMd004050Jian02		-1			1					0	0	0								0							0	1				903702011	801032	995207							1			0		0			1					
90370206	屏幕外预警	1	1	0		0	0			4		1.8			-1					HitCase	FxYujingXian02		-1			1					0	0	0								0							0	1													0	HitCase		1		1			0					
90370301	会心一击-攻击	2	2				15			4		3		1	-1						FxMe1BioMd004050Jian02		-1			3	-55	0	15	1	0	0	0								0	9999		1	90370309	1		1	1													1	HitCase		0		0		1	0					
90370302	伤害-受击	2	2				0			4		0.1		1	-1		FxMe1BioMd004050Shouji						-1			1					0	0	0								2							3	2				903703021	801055	995208							0			0		0			1					
90370305	会心一击-释放特效	2	3				0			4		1.4			-1						FxMe1BioMd004050Attack03		-1			1					0	0	0								0							0	1													0	HitCase	1	0		1			0					
90370306	预警特效	2	2				0			4		1.1			-1						FxYujing1M09S		-1			1					0	0	0								1							0	1													0	HitCase	1	0		0			0					
90370309	爆炸特效	2	2				0			4		1			-1						FxMe1BioMd004050Attack03Zha		-1			1					0	0	0								2	0.1		1	90370302			3	1													0	HitCase		0		0			0					
90370401	挥击	3	3	80		0	0			4		0.1			-1		FxMe1BioMd004050Shouji						-1			1					0	0	0								0							0	1				903704011	801030	995209							1		1	0		1			1					
90370501	灵活反击	1	1				40			4		5			-1	1	FxMe1BioMd004050Shouji		1	Bip001Prop1	FxMe1BioMd004050Jian02		-1			1					0	0	0								0							0	1				903705011	801030	995210							1			0		0			1					
90370508	屏幕外预警	1	1	0		0	0			4		0.5			-1					HitCase	FxYujingXian02		-1			1					0	0	0								0							0	1													0	HitCase		1		1			0					
90375101	位移闪避-玩家操作	1	1				40		0	4		5			-1	1	FxMe1BioMd004050Shouji		1	Bip001Prop1	FxMe1BioMd004050Jian02		-1			1					0	0	0								0							0	1		0.2	0.1	903751011	801030	995210							0	HitCase		0		0			1					
90375201	位移闪避-玩家操作	1	1				40		0	4		5			-1	1	FxMe1BioMd004050Shouji		1	Bip001Prop1	FxMe1BioMd004050Jian02		-1			1					0	0	0								0							0	1		0.2	0.1	903752011	801030	995210							0	HitCase		0		0			1					
90375501	普通攻击-玩家操作	1	1				50			4		5			1	1	FxMe1BioMd004050Shouji		1	Bip001Prop1	FxMe1BioMd004050Jian02		1			1	20	80	0.4	1.5	0	0	0								0							0	1		0.2	0.1	903755011	801010	995207						903755012	0	HitCase		0		0			1					
90375601	普通攻击-玩家操作	1	1				50			4		5			1	1	FxMe1BioMd004050Shouji		1	Bip001Prop1	FxMe1BioMd004050Jian02		1			1	20	80	0.4	1.5	0	0	0								0							0	1		0.2	0.1	903756011	801010	995207						903756012	0	HitCase		0		0			1					
90375602	普通攻击-玩家操作	1	1				50			4		5			1	1	FxMe1BioMd004050Shouji		1	Bip001Prop1	FxMe1BioMd004050Jian02		1			1	20	80	0.4	1.5	0	0	0								0							0	1		0.2	0.1	903756021	801010	995207						903756022	0	HitCase		0		0			1					
90375701	位移闪避-玩家操作	1	1				40		0	4		5			-1	1	FxMe1BioMd004050Shouji		1	Bip001Prop1	FxMe1BioMd004050Jian02		-1			1					0	0	0								0							0	1		0.2	0.1	903757011	801015	995210						903757012	0	HitCase		0		0			1					
90375702	位移闪避-玩家操作	1	1				40		0	4		5			-1	1	FxMe1BioMd004050Shouji		1	Bip001Prop1	FxMe1BioMd004050Jian02		-1			1					0	0	0								0							0	1		0.2	0.1	903757021	801015	995210						903757022	0	HitCase		0		0			1					
90375703	位移闪避-玩家操作	1	1				40		0	4		5			-1	1	FxMe1BioMd004050Shouji		1	Bip001Prop1	FxMe1BioMd004050Jian02		-1			1					0	0	0								0							0	1		0.2	0.1	903757031	801015	995210						903757032	0	HitCase		0		0			1					
90376101	挥舞弓-玩家操作	1	2	3		1.5	0			4		0.1			-1		FxMe1BioMd004050Shouji						-1			1					0	0	0								0							0	1				903761011	801090	995209						903761012	0	HitCase	1	0		1			1					
