Id	Name	Level	Icon	Description
760001	畏火	1	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuo.png	增加30%受到的火属性伤害
760002	畏火	2	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuo.png	增加45%受到的火属性伤害
760003	畏火	3	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuo.png	增加60%受到的火属性伤害
760011	畏雷	1	Assets/Product/Texture/Image/IconAffix/AffixIconWeilei.png	增加30%受到的雷属性伤害
760012	畏雷	2	Assets/Product/Texture/Image/IconAffix/AffixIconWeilei.png	增加45%受到的雷属性伤害
760013	畏雷	3	Assets/Product/Texture/Image/IconAffix/AffixIconWeilei.png	增加60%受到的雷属性伤害
760021	畏冰	1	Assets/Product/Texture/Image/IconAffix/AffixIconWeibing.png	增加30%受到的冰属性伤害
760022	畏冰	2	Assets/Product/Texture/Image/IconAffix/AffixIconWeibing.png	增加45%受到的冰属性伤害
760023	畏冰	3	Assets/Product/Texture/Image/IconAffix/AffixIconWeibing.png	增加60%受到的冰属性伤害
760031	畏暗	1	Assets/Product/Texture/Image/IconAffix/AffixIconWeian.png	增加30%受到的暗属性伤害
760032	畏暗	2	Assets/Product/Texture/Image/IconAffix/AffixIconWeian.png	增加45%受到的暗属性伤害
760033	畏暗	3	Assets/Product/Texture/Image/IconAffix/AffixIconWeian.png	增加60%受到的暗属性伤害
760041	畏物理	1	Assets/Product/Texture/Image/IconAffix/AffixIconWeiwuli.png	增加30%受到的物理伤害
760042	畏物理	2	Assets/Product/Texture/Image/IconAffix/AffixIconWeiwuli.png	增加45%受到的物理伤害
760043	畏物理	3	Assets/Product/Texture/Image/IconAffix/AffixIconWeiwuli.png	增加60%受到的物理伤害
760051	畏元素	1	Assets/Product/Texture/Image/IconAffix/AffixIconWeiyuansu.png	增加30%受到的所有元素伤害
760052	畏元素	2	Assets/Product/Texture/Image/IconAffix/AffixIconWeiyuansu.png	增加45%受到的所有元素伤害
760053	畏元素	3	Assets/Product/Texture/Image/IconAffix/AffixIconWeiyuansu.png	增加60%受到的所有元素伤害
760061	弱攻	1	Assets/Product/Texture/Image/IconAffix/AffixIconRuogong.png	降低30%造成的所有伤害
760062	弱攻	2	Assets/Product/Texture/Image/IconAffix/AffixIconRuogong.png	降低45%造成的所有伤害
760063	弱攻	3	Assets/Product/Texture/Image/IconAffix/AffixIconRuogong.png	降低60%造成的所有伤害
760071	破甲	1	Assets/Product/Texture/Image/IconAffix/AffixIconPojia.png	增加30%受到的所有伤害
760072	破甲	2	Assets/Product/Texture/Image/IconAffix/AffixIconPojia.png	增加45%受到的所有伤害
760073	破甲	3	Assets/Product/Texture/Image/IconAffix/AffixIconPojia.png	增加60%受到的所有伤害
