Id	EquipId	Times	LevelLimit	AttribId	AttribPromotedId	Exp	LevelUpTemplateId	UseItemId	UseMoney	ItemId[1]	ItemCount[1]	ItemId[2]	ItemCount[2]	ItemId[3]	ItemCount[4]	ItemId[4]	ItemCount[4]	ConditionId	ResId
1	2013001	0	15	20130010	20130010	100	301	1	4000	40103	2							5000	2013001
2	2013001	1	20	20130011	20130011	370	302	1	8000	40100	2	40103	2					5000	2013001
3	2013001	2	25	20130012	20130012	1020	303												2013001
4	2014001	0	20	20140010	20140010	300	401	1	6000	40103	4							5000	2014001
5	2014001	1	25	20140011	20140011	760	402	1	12000	40100	4	40103	4					5000	2014001
6	2014001	2	30	20140012	20140012	1700	403	1	18000	40110	2	40113	2	40100	2	40103	2	5000	2014001
7	2014001	3	35	20140013	20140013	3270	404	1	24000	40110	4	40113	4					5000	2014001
8	2015001	0	25	20150010	20150010	500	501	1	8000	40103	6							5000	2015001
9	2015001	1	30	20150011	20150011	1680	502	1	16000	40100	6	40103	6					5000	2015001
10	2015001	2	35	20150012	20150012	3540	503	1	24000	40110	4	40113	4	40100	4	40103	4	5000	2015001
11	2015001	3	40	20150013	20150013	6570	504	1	32000	40110	8	40113	8	40100	4	40103	4	5000	2015001
12	2015001	4	45	20150014	20150014	11050	505												2015001
13	2016001	0	25	20160010	20160010	700	601	1	10000	40103	8							5000	2016001
14	2016001	1	30	20160011	20160011	2360	602	1	20000	40100	8	40103	8					5000	2016001
15	2016001	2	35	20160012	20160012	5090	603	1	30000	40110	6	40113	6	40100	6	40103	6	5000	2016001
16	2016001	3	40	20160013	20160013	9140	604	1	40000	40110	10	40113	10	40100	6	40103	6	5000	2016001
17	2016001	4	45	20160014	20160014	15280	605												2016001
18	2016002	0	25	20160020	20160020	700	601	1	10000	40103	8							5000	2016002
19	2016002	1	30	20160021	20160021	2360	602	1	20000	40100	8	40103	8					5000	2016002
20	2016002	2	35	20160022	20160022	5090	603	1	30000	40110	6	40113	6	40100	6	40103	6	5000	2016002
21	2016002	3	40	20160023	20160023	9140	604	1	40000	40110	10	40113	10	40100	6	40103	6	5000	2016002
22	2016002	4	45	20160024	20160024	15280	605												2016002
23	2022001	0	10	20220010	20220010	50	301												2022001
24	2023001	0	15	20230010	20230010	100	301	1	4000	40103	2							5000	2023001
25	2023001	1	20	20230011	20230011	370	302	1	8000	40100	2	40103	2					5000	2023001
26	2023001	2	25	20230012	20230012	1020	303												2023001
27	2024001	0	20	20240010	20240010	300	401	1	6000	40103	4							5000	2024001
28	2024001	1	25	20240011	20240011	760	402	1	12000	40100	4	40103	4					5000	2024001
29	2024001	2	30	20240012	20240012	1700	403	1	18000	40110	2	40113	2	40100	2	40103	2	5000	2024001
30	2024001	3	35	20240013	20240013	3270	404	1	24000	40110	4	40113	4					5000	2024001
31	2024002	0	20	20240010	20240010	300	401	1	6000	40103	4							5000	2024001
32	2024002	1	25	20240011	20240011	760	402	1	12000	40100	4	40103	4					5000	2024001
33	2024002	2	30	20240012	20240012	1700	403	1	18000	40110	2	40113	2	40100	2	40103	2	5000	2024001
34	2024002	3	35	20240013	20240013	3270	404	1	24000	40110	4	40113	4					5000	2024001
35	2025001	0	25	20250010	20250010	500	501	1	8000	40103	6							5000	2025001
36	2025001	1	30	20250011	20250011	1680	502	1	16000	40100	6	40103	6					5000	2025001
37	2025001	2	35	20250012	20250012	3540	503	1	24000	40110	4	40113	4	40100	4	40103	4	5000	2025001
38	2025001	3	40	20250013	20250013	6570	504	1	32000	40110	8	40113	8	40100	4	40103	4	5000	2025001
39	2025001	4	45	20250014	20250014	11050	505												2025001
40	2026001	0	25	20260010	20260010	700	601	1	10000	40103	8							5000	2026001
41	2026001	1	30	20260011	20260011	2360	602	1	20000	40100	8	40103	8					5000	2026001
42	2026001	2	35	20260012	20260012	5090	603	1	30000	40110	6	40113	6	40100	6	40103	6	5000	2026001
43	2026001	3	40	20260013	20260013	9140	604	1	40000	40110	10	40113	10	40100	6	40103	6	5000	2026001
44	2026001	4	45	20260014	20260014	15280	605												2026001
45	2026002	0	25	20260020	20260020	700	601	1	10000	40103	8							5000	2026002
46	2026002	1	30	20260021	20260021	2360	602	1	20000	40100	8	40103	8					5000	2026002
47	2026002	2	35	20260022	20260022	5090	603	1	30000	40110	6	40113	6	40100	6	40103	6	5000	2026002
48	2026002	3	40	20260023	20260023	9140	604	1	40000	40110	10	40113	10	40100	6	40103	6	5000	2026002
49	2026002	4	45	20260024	20260024	15280	605												2026002
50	2026003	0	25	20260030	20260030	700	601	1	10000	40103	8							5000	2026003
51	2026003	1	30	20260031	20260031	2360	602	1	20000	40100	8	40103	8					5000	2026003
52	2026003	2	35	20260032	20260032	5090	603	1	30000	40110	6	40113	6	40100	6	40103	6	5000	2026003
53	2026003	3	40	20260033	20260033	9140	604	1	40000	40110	10	40113	10	40100	6	40103	6	5000	2026003
54	2026003	4	45	20260034	20260034	15280	605												2026003
55	2026004	0	25	20260040	20260040	700	601	1	10000	40103	8							5000	2026004
56	2026004	1	30	20260041	20260041	2360	602	1	20000	40100	8	40103	8					5000	2026004
57	2026004	2	35	20260042	20260042	5090	603	1	30000	40110	6	40113	6	40100	6	40103	6	5000	2026004
58	2026004	3	40	20260043	20260043	9140	604	1	40000	40110	10	40113	10	40100	6	40103	6	5000	2026004
59	2026004	4	45	20260044	20260044	15280	605												2026004
60	2032001	0	10	20320010	20320010	50	301												2032001
61	2033001	0	15	20330010	20330010	100	301	1	4000	40103	2							5000	2033001
62	2033001	1	20	20330011	20330011	370	302	1	8000	40100	2	40103	2					5000	2033001
63	2033001	2	25	20330012	20330012	1020	303												2033001
64	2034001	0	20	20340010	20340010	300	401	1	6000	40103	4							5000	2034001
65	2034001	1	25	20340011	20340011	760	402	1	12000	40100	4	40103	4					5000	2034001
66	2034001	2	30	20340012	20340012	1700	403	1	18000	40110	2	40113	2	40100	2	40103	2	5000	2034001
67	2034001	3	35	20340013	20340013	3270	404	1	24000	40110	4	40113	4					5000	2034001
68	2035001	0	25	20350010	20350010	500	501	1	8000	40103	6							5000	2035001
69	2035001	1	30	20350011	20350011	1680	502	1	16000	40100	6	40103	6					5000	2035001
70	2035001	2	35	20350012	20350012	3540	503	1	24000	40110	4	40113	4	40100	4	40103	4	5000	2035001
71	2035001	3	40	20350013	20350013	6570	504	1	32000	40110	8	40113	8	40100	4	40103	4	5000	2035001
72	2035001	4	45	20350014	20350014	11050	505												2035001
73	2036001	0	25	20360010	20360010	700	601	1	10000	40103	8							5000	2036001
74	2036001	1	30	20360011	20360011	2360	602	1	20000	40100	8	40103	8					5000	2036001
75	2036001	2	35	20360012	20360012	5090	603	1	30000	40110	6	40113	6	40100	6	40103	6	5000	2036001
76	2036001	3	40	20360013	20360013	9140	604	1	40000	40110	10	40113	10	40100	6	40103	6	5000	2036001
77	2036001	4	45	20360014	20360014	15280	605												2036001
78	2036002	0	25	20360020	20360020	700	601	1	10000	40103	8							5000	2036002
79	2036002	1	30	20360021	20360021	2360	602	1	20000	40100	8	40103	8					5000	2036002
80	2036002	2	35	20360022	20360022	5090	603	1	30000	40110	6	40113	6	40100	6	40103	6	5000	2036002
81	2036002	3	40	20360023	20360023	9140	604	1	40000	40110	10	40113	10	40100	6	40103	6	5000	2036002
82	2036002	4	45	20360024	20360024	15280	605												2036002
83	2036003	0	25	20360030	20360030	700	601	1	10000	40103	8							5000	2036003
84	2036003	1	30	20360031	20360031	2360	602	1	20000	40100	8	40103	8					5000	2036003
85	2036003	2	35	20360032	20360032	5090	603	1	30000	40110	6	40113	6	40100	6	40103	6	5000	2036003
86	2036003	3	40	20360033	20360033	9140	604	1	40000	40110	10	40113	10	40100	6	40103	6	5000	2036003
87	2036003	4	45	20360034	20360034	15280	605												2036003
88	2043001	0	15	20430010	20430010	100	301	1	4000	40103	2							5000	2043001
89	2043001	1	20	20430011	20430011	370	302	1	8000	40100	2	40103	2					5000	2043001
90	2043001	2	25	20430012	20430012	1020	303												2043001
91	2044001	0	20	20440010	20440010	300	401	1	6000	40103	4							5000	2044001
92	2044001	1	25	20440011	20440011	760	402	1	12000	40100	4	40103	4					5000	2044001
93	2044001	2	30	20440012	20440012	1700	403	1	18000	40110	2	40113	2	40100	2	40103	2	5000	2044001
94	2044001	3	35	20440013	20440013	3270	404	1	24000	40110	4	40113	4					5000	2044001
95	2045001	0	25	20450010	20450010	500	501	1	8000	40103	6							5000	2045001
96	2045001	1	30	20450011	20450011	1680	502	1	16000	40100	6	40103	6					5000	2045001
97	2045001	2	35	20450012	20450012	3540	503	1	24000	40110	4	40113	4	40100	4	40103	4	5000	2045001
98	2045001	3	40	20450013	20450013	6570	504	1	32000	40110	8	40113	8	40100	4	40103	4	5000	2045001
99	2045001	4	45	20450014	20450014	11050	505												2045001
100	2046001	0	25	20460010	20460010	700	601	1	10000	40103	8							5000	2046001
101	2046001	1	30	20460011	20460011	2360	602	1	20000	40100	8	40103	8					5000	2046001
102	2046001	2	35	20460012	20460012	5090	603	1	30000	40110	6	40113	6	40100	6	40103	6	5000	2046001
103	2046001	3	40	20460013	20460013	9140	604	1	40000	40110	10	40113	10	40100	6	40103	6	5000	2046001
104	2046001	4	45	20460014	20460014	15280	605												2046001
105	2053001	0	15	20530010	20530010	100	301	1	4000	40103	2							5000	2053001
106	2053001	1	20	20530011	20530011	370	302	1	8000	40100	2	40103	2					5000	2053001
107	2053001	2	25	20530012	20530012	1020	303												2053001
108	2054001	0	20	20540010	20540010	300	401	1	6000	40103	4							5000	2054001
109	2054001	1	25	20540011	20540011	760	402	1	12000	40100	4	40103	4					5000	2054001
110	2054001	2	30	20540012	20540012	1700	403	1	18000	40110	2	40113	2	40100	2	40103	2	5000	2054001
111	2054001	3	35	20540013	20540013	3270	404	1	24000	40110	4	40113	4					5000	2054001
112	2055001	0	25	20550010	20550010	500	501	1	8000	40103	6							5000	2055001
113	2055001	1	30	20550011	20550011	1680	502	1	16000	40100	6	40103	6					5000	2055001
114	2055001	2	35	20550012	20550012	3540	503	1	24000	40110	4	40113	4	40100	4	40103	4	5000	2055001
115	2055001	3	40	20550013	20550013	6570	504	1	32000	40110	8	40113	8	40100	4	40103	4	5000	2055001
116	2055001	4	45	20550014	20550014	11050	505												2055001
117	2056001	0	25	20560010	20560010	700	601	1	10000	40103	8							5000	2056001
118	2056001	1	30	20560011	20560011	2360	602	1	20000	40100	8	40103	8					5000	2056001
119	2056001	2	35	20560012	20560012	5090	603	1	30000	40110	6	40113	6	40100	6	40103	6	5000	2056001
120	2056001	3	40	20560013	20560013	9140	604	1	40000	40110	10	40113	10	40100	6	40103	6	5000	2056001
121	2056001	4	45	20560014	20560014	15280	605												2056001
122	2056002	0	25	20560020	20560020	700	601	1	10000	40103	8							5000	2056002
123	2056002	1	30	20560021	20560021	2360	602	1	20000	40100	8	40103	8					5000	2056002
124	2056002	2	35	20560022	20560022	5090	603	1	30000	40110	6	40113	6	40100	6	40103	6	5000	2056002
125	2056002	3	40	20560023	20560023	9140	604	1	40000	40110	10	40113	10	40100	6	40103	6	5000	2056002
126	2056002	4	45	20560024	20560024	15280	605												2056002
127	2063001	0	15	20630010	20630010	100	301	1	4000	40103	2							5000	2063001
128	2063001	1	20	20630011	20630011	370	302	1	8000	40100	2	40103	2					5000	2063001
129	2063001	2	25	20630012	20630012	1020	303												2063001
130	2064001	0	20	20640010	20640010	300	401	1	6000	40103	4							5000	2064001
131	2064001	1	25	20640011	20640011	760	402	1	12000	40100	4	40103	4					5000	2064001
132	2064001	2	30	20640012	20640012	1700	403	1	18000	40110	2	40113	2	40100	2	40103	2	5000	2064001
133	2064001	3	35	20640013	20640013	3270	404	1	24000	40110	4	40113	4					5000	2064001
134	2065001	0	25	20650010	20650010	500	501	1	8000	40103	6							5000	2065001
135	2065001	1	30	20650011	20650011	1680	502	1	16000	40100	6	40103	6					5000	2065001
136	2065001	2	35	20650012	20650012	3540	503	1	24000	40110	4	40113	4	40100	4	40103	4	5000	2065001
137	2065001	3	40	20650013	20650013	6570	504	1	32000	40110	8	40113	8	40100	4	40103	4	5000	2065001
138	2065001	4	45	20650014	20650014	11050	505												2065001
139	2065050	0	25	20650500	20650500	500	501	1	8000	40103	6							5000	2065050
140	2065050	1	30	20650501	20650501	1680	502	1	16000	40100	6	40103	6					5000	2065050
141	2065050	2	35	20650502	20650502	3540	503	1	24000	40110	4	40113	4	40100	4	40103	4	5000	2065050
142	2065050	3	40	20650503	20650503	6570	504	1	32000	40110	8	40113	8	40100	4	40103	4	5000	2065050
143	2065050	4	45	20650504	20650504	11050	505												2065050
144	2066001	0	25	20660010	20660010	700	601	1	10000	40103	8							5000	2066001
145	2066001	1	30	20660011	20660011	2360	602	1	20000	40100	8	40103	8					5000	2066001
146	2066001	2	35	20660012	20660012	5090	603	1	30000	40110	6	40113	6	40100	6	40103	6	5000	2066001
147	2066001	3	40	20660013	20660013	9140	604	1	40000	40110	10	40113	10	40100	6	40103	6	5000	2066001
148	2066001	4	45	20660014	20660014	15280	605												2066001
149	2066002	0	25	20660020	20660020	700	601	1	10000	40103	8							5000	2066002
150	2066002	1	30	20660021	20660021	2360	602	1	20000	40100	8	40103	8					5000	2066002
151	2066002	2	35	20660022	20660022	5090	603	1	30000	40110	6	40113	6	40100	6	40103	6	5000	2066002
152	2066002	3	40	20660023	20660023	9140	604	1	40000	40110	10	40113	10	40100	6	40103	6	5000	2066002
153	2066002	4	45	20660024	20660024	15280	605												2066002
154	2073001	0	15	20730010	20730010	100	301	1	4000	40103	2							5000	2073001
155	2073001	1	20	20730011	20730011	370	302	1	8000	40100	2	40103	2					5000	2073001
156	2073001	2	25	20730012	20730012	1020	303												2073001
157	2074001	0	20	20740010	20740010	300	401	1	6000	40103	4							5000	2074001
158	2074001	1	25	20740011	20740011	760	402	1	12000	40100	4	40103	4					5000	2074001
159	2074001	2	30	20740012	20740012	1700	403	1	18000	40110	2	40113	2	40100	2	40103	2	5000	2074001
160	2074001	3	35	20740013	20740013	3270	404	1	24000	40110	4	40113	4					5000	2074001
161	2075001	0	25	20750010	20750010	500	501	1	8000	40103	6							5000	2075001
162	2075001	1	30	20750011	20750011	1680	502	1	16000	40100	6	40103	6					5000	2075001
163	2075001	2	35	20750012	20750012	3540	503	1	24000	40110	4	40113	4	40100	4	40103	4	5000	2075001
164	2075001	3	40	20750013	20750013	6570	504	1	32000	40110	8	40113	8	40100	4	40103	4	5000	2075001
165	2075001	4	45	20750014	20750014	11050	505												2075001
166	2075002	0	25	20750020	20750020	500	501	1	8000	40103	6							5000	2075002
167	2075002	1	30	20750021	20750021	1680	502	1	16000	40100	6	40103	6					5000	2075002
168	2075002	2	35	20750022	20750022	3540	503	1	24000	40110	4	40113	4	40100	4	40103	4	5000	2075002
169	2075002	3	40	20750023	20750023	6570	504	1	32000	40110	8	40113	8	40100	4	40103	4	5000	2075002
170	2075002	4	45	20750024	20750024	11050	505												2075002
171	2076001	0	25	20760010	20760010	700	601	1	10000	40103	8							5000	2076001
172	2076001	1	30	20760011	20760011	2360	602	1	20000	40100	8	40103	8					5000	2076001
173	2076001	2	35	20760012	20760012	5090	603	1	30000	40110	6	40113	6	40100	6	40103	6	5000	2076001
174	2076001	3	40	20760013	20760013	9140	604	1	40000	40110	10	40113	10	40100	6	40103	6	5000	2076001
175	2076001	4	45	20760014	20760014	15280	605												2076001
176	2076002	0	25	20760020	20760020	700	601	1	10000	40103	8							5000	2076002
177	2076002	1	30	20760021	20760021	2360	602	1	20000	40100	8	40103	8					5000	2076002
178	2076002	2	35	20760022	20760022	5090	603	1	30000	40110	6	40113	6	40100	6	40103	6	5000	2076002
179	2076002	3	40	20760023	20760023	9140	604	1	40000	40110	10	40113	10	40100	6	40103	6	5000	2076002
180	2076002	4	45	20760024	20760024	15280	605												2076002
181	2083001	0	15	20830010	20830010	100	301	1	4000	40103	2							5000	2083001
