Id	Name	Level[1]	Level[2]	Level[3]	Level[4]	Level[5]	Level[6]	Level[7]	Level[8]	Level[9]	Level[10]	Level[11]	Level[12]	Level[13]	Level[14]	Level[15]	Level[16]	Level[17]	Level[18]	Level[19]	Level[20]	Level[21]	Level[22]	Level[23]	Level[24]	Level[25]	Level[26]	Level[27]	Level[28]	Level[29]	Level[30]
101400	Damage	2|0|5000|0|0|0|1|7500	2|0|5625|0|0|0|1|7500	2|0|6250|0|0|0|1|7500	2|0|6875|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500
101401	Damage	2|0|5000|0|0|0|1|7500	2|0|5625|0|0|0|1|7500	2|0|6250|0|0|0|1|7500	2|0|6875|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500
101402	Damage	2|0|5000|0|0|0|1|7500	2|0|5625|0|0|0|1|7500	2|0|6250|0|0|0|1|7500	2|0|6875|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500
101403	Damage	2|0|5000|0|0|0|1|7500	2|0|5625|0|0|0|1|7500	2|0|6250|0|0|0|1|7500	2|0|6875|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500
101404	Damage	2|0|5000|0|0|0|1|7500	2|0|5625|0|0|0|1|7500	2|0|6250|0|0|0|1|7500	2|0|6875|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500	2|0|7500|0|0|0|1|7500
101410	Damage	11|0|5000|0|0|0|1|7500	11|0|5625|0|0|0|1|7500	11|0|6250|0|0|0|1|7500	11|0|6875|0|0|0|1|7500	11|0|7500|0|0|0|1|7500	11|0|7500|0|0|0|1|7500	11|0|7500|0|0|0|1|7500	11|0|7500|0|0|0|1|7500	11|0|7500|0|0|0|1|7500	11|0|7500|0|0|0|1|7500	11|0|7500|0|0|0|1|7500	11|0|7500|0|0|0|1|7500	11|0|7500|0|0|0|1|7500	11|0|7500|0|0|0|1|7500	11|0|7500|0|0|0|1|7500	11|0|7500|0|0|0|1|7500	11|0|7500|0|0|0|1|7500	11|0|7500|0|0|0|1|7500	11|0|7500|0|0|0|1|7500	11|0|7500|0|0|0|1|7500	11|0|7500|0|0|0|1|7500	11|0|7500|0|0|0|1|7500	11|0|7500|0|0|0|1|7500	11|0|7500|0|0|0|1|7500	11|0|7500|0|0|0|1|7500	11|0|7500|0|0|0|1|7500	11|0|7500|0|0|0|1|7500	11|0|7500|0|0|0|1|7500	11|0|7500|0|0|0|1|7500	11|0|7500|0|0|0|1|7500
101411	Damage	12|0|5000|0|0|0|1|7500	12|0|5625|0|0|0|1|7500	12|0|6250|0|0|0|1|7500	12|0|6875|0|0|0|1|7500	12|0|7500|0|0|0|1|7500	12|0|7500|0|0|0|1|7500	12|0|7500|0|0|0|1|7500	12|0|7500|0|0|0|1|7500	12|0|7500|0|0|0|1|7500	12|0|7500|0|0|0|1|7500	12|0|7500|0|0|0|1|7500	12|0|7500|0|0|0|1|7500	12|0|7500|0|0|0|1|7500	12|0|7500|0|0|0|1|7500	12|0|7500|0|0|0|1|7500	12|0|7500|0|0|0|1|7500	12|0|7500|0|0|0|1|7500	12|0|7500|0|0|0|1|7500	12|0|7500|0|0|0|1|7500	12|0|7500|0|0|0|1|7500	12|0|7500|0|0|0|1|7500	12|0|7500|0|0|0|1|7500	12|0|7500|0|0|0|1|7500	12|0|7500|0|0|0|1|7500	12|0|7500|0|0|0|1|7500	12|0|7500|0|0|0|1|7500	12|0|7500|0|0|0|1|7500	12|0|7500|0|0|0|1|7500	12|0|7500|0|0|0|1|7500	12|0|7500|0|0|0|1|7500
101412	Damage	13|0|0|2|0|5000|1|7500	13|0|0|2|0|5625|1|7500	13|0|0|2|0|6250|1|7500	13|0|0|2|0|6875|1|7500	13|0|0|2|0|7500|1|7500	13|0|0|2|0|7500|1|7500	13|0|0|2|0|7500|1|7500	13|0|0|2|0|7500|1|7500	13|0|0|2|0|7500|1|7500	13|0|0|2|0|7500|1|7500	13|0|0|2|0|7500|1|7500	13|0|0|2|0|7500|1|7500	13|0|0|2|0|7500|1|7500	13|0|0|2|0|7500|1|7500	13|0|0|2|0|7500|1|7500	13|0|0|2|0|7500|1|7500	13|0|0|2|0|7500|1|7500	13|0|0|2|0|7500|1|7500	13|0|0|2|0|7500|1|7500	13|0|0|2|0|7500|1|7500	13|0|0|2|0|7500|1|7500	13|0|0|2|0|7500|1|7500	13|0|0|2|0|7500|1|7500	13|0|0|2|0|7500|1|7500	13|0|0|2|0|7500|1|7500	13|0|0|2|0|7500|1|7500	13|0|0|2|0|7500|1|7500	13|0|0|2|0|7500|1|7500	13|0|0|2|0|7500|1|7500	13|0|0|2|0|7500|1|7500
101413	AddBuff	101413																													
101413000	SetCameraPositionOffset	0|-00.5|1.6|1|1|1																													
